table,field,required,type,description,schema
PERSON,person_id,Yes,INTEGER,It is assumed that every person with a different unique identifier is in fact a different person and should be treated independently.,cdm
PERSON,gender_concept_id,Yes,INTEGER,This field is meant to capture the biological sex at birth of the Person. This field should not be used to study gender identity issues.,cdm
PERSON,year_of_birth,Yes,INTEGER,Compute age using year_of_birth.,cdm
PERSON,month_of_birth,No,INTEGER,,cdm
PERSON,day_of_birth,No,INTEGER,,cdm
PERSON,birth_datetime,No,DATETIME,,cdm
PERSON,race_concept_id,Yes,INTEGER,This field captures race or ethnic background of the person.,cdm
PERSON,ethnicity_concept_id,Yes,INTEGER,"This field captures Ethnicity as defined by the Office of Management and Budget (OMB) of the US Government: it distinguishes only between ""Hispanic"" and ""Not Hispanic"". Races and ethnic backgrounds are not stored here.",cdm
PERSON,location_id,No,INTEGER,The location refers to the physical address of the person. This field should capture the last known location of the person.,cdm
PERSON,provider_id,No,INTEGER,The Provider refers to the last known primary care provider (General Practitioner).,cdm
PERSON,care_site_id,No,INTEGER,The Care Site refers to where the Provider typically provides the primary care.,cdm
PERSON,person_source_value,No,VARCHAR(50),Use this field to link back to persons in the source data. This is typically used for error checking of ETL logic.,cdm
PERSON,gender_source_value,No,VARCHAR(50),This field is used to store the biological sex of the person from the source data. It is not intended for use in standard analytics but for reference only.,cdm
PERSON,gender_source_concept_id,No,INTEGER,"Due to the small number of options, this tends to be zero.",cdm
PERSON,race_source_value,No,VARCHAR(50),This field is used to store the race of the person from the source data. It is not intended for use in standard analytics but for reference only.,cdm
PERSON,race_source_concept_id,No,INTEGER,"Due to the small number of options, this tends to be zero.",cdm
PERSON,ethnicity_source_value,No,VARCHAR(50),This field is used to store the ethnicity of the person from the source data. It is not intended for use in standard analytics but for reference only.,cdm
PERSON,ethnicity_source_concept_id,No,INTEGER,"Due to the small number of options, this tends to be zero.",cdm
OBSERVATION_PERIOD,observation_period_id,Yes,INTEGER,A Person can have multiple discrete Observation Periods which are identified by the Observation_Period_Id.,cdm
OBSERVATION_PERIOD,person_id,Yes,INTEGER,The Person ID of the PERSON record for which the Observation Period is recorded.,cdm
OBSERVATION_PERIOD,observation_period_start_date,Yes,DATE,Use this date to determine the start date of the Observation Period.,cdm
OBSERVATION_PERIOD,observation_period_end_date,Yes,DATE,Use this date to determine the end date of the period for which we can assume that all events for a Person are recorded.,cdm
OBSERVATION_PERIOD,period_type_concept_id,Yes,INTEGER,"This field can be used to determine the provenance of the Observation Period as in whether the period was determined from an insurance enrollment file, EHR healthcare encounters, or other sources.",cdm
VISIT_OCCURRENCE,visit_occurrence_id,Yes,INTEGER,Use this to identify unique interactions between a person and the health care system. This identifier links across the other CDM event tables to associate events with a visit.,cdm
VISIT_OCCURRENCE,person_id,Yes,INTEGER,,cdm
VISIT_OCCURRENCE,visit_concept_id,Yes,INTEGER,"This field contains a concept id representing the kind of visit, like inpatient or outpatient. All concepts in this field should be standard and belong to the Visit domain.",cdm
VISIT_OCCURRENCE,visit_start_date,Yes,DATE,"For inpatient visits, the start date is typically the admission date. For outpatient visits the start date and end date will be the same.",cdm
VISIT_OCCURRENCE,visit_start_datetime,No,DATETIME,,cdm
VISIT_OCCURRENCE,visit_end_date,Yes,DATE,"For inpatient visits the end date is typically the discharge date.  If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_date, then set the visit_end_date to the date of the data pull.",cdm
VISIT_OCCURRENCE,visit_end_datetime,No,DATETIME,"If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_datetime, then set the visit_end_datetime to the datetime of the data pull.",cdm
VISIT_OCCURRENCE,visit_type_concept_id,Yes,INTEGER,"Use this field to understand the provenance of the visit record, or where the record comes from.",cdm
VISIT_OCCURRENCE,provider_id,No,INTEGER,"There will only be one provider per visit record and the ETL document should clearly state how they were chosen (attending, admitting, etc.). If there are multiple providers associated with a visit in the source, this can be reflected in the event tables (CONDITION_OCCURRENCE, PROCEDURE_OCCURRENCE, etc.) or in the VISIT_DETAIL table.",cdm
VISIT_OCCURRENCE,care_site_id,No,INTEGER,This field provides information about the Care Site where the Visit took place.,cdm
VISIT_OCCURRENCE,visit_source_value,No,VARCHAR(50),"This field houses the verbatim value from the source data representing the kind of visit that took place (inpatient, outpatient, emergency, etc.)",cdm
VISIT_OCCURRENCE,visit_source_concept_id,No,INTEGER,,cdm
VISIT_OCCURRENCE,admitted_from_concept_id,No,INTEGER,"Use this field to determine where the patient was admitted from. This concept is part of the visit domain and can indicate if a patient was admitted to the hospital from a long-term care facility, for example.",cdm
VISIT_OCCURRENCE,admitted_from_source_value,No,VARCHAR(50),,cdm
VISIT_OCCURRENCE,discharged_to_concept_id,No,INTEGER,"Use this field to determine where the patient was discharged to after a visit. This concept is part of the visit domain and can indicate if a patient was transferred to another hospital or sent to a long-term care facility, for example.  It is assumed that a person is discharged to home therefore there is not a standard concept id for ""home"".  Use concept id = 0 when a person is discharged to home.",cdm
VISIT_OCCURRENCE,discharged_to_source_value,No,VARCHAR(50),,cdm
VISIT_OCCURRENCE,preceding_visit_occurrence_id,No,INTEGER,Use this field to find the visit that occurred for the person prior to the given visit. There could be a few days or a few years in between.,cdm
VISIT_DETAIL,visit_detail_id,Yes,INTEGER,Use this to identify unique interactions between a person and the health care system. This identifier links across the other CDM event tables to associate events with a visit detail.,cdm
VISIT_DETAIL,person_id,Yes,INTEGER,,cdm
VISIT_DETAIL,visit_detail_concept_id,Yes,INTEGER,"This field contains a concept id representing the kind of visit detail, like inpatient or outpatient. All concepts in this field should be standard and belong to the Visit domain.",cdm
VISIT_DETAIL,visit_detail_start_date,Yes,DATE,This is the date of the start of the encounter. This may or may not be equal to the date of the Visit the Visit Detail is associated with.,cdm
VISIT_DETAIL,visit_detail_start_datetime,No,DATETIME,,cdm
VISIT_DETAIL,visit_detail_end_date,Yes,DATE,"This the end date of the patient-provider interaction.  If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_date, then set the visit_end_date to the date of the data pull.",cdm
VISIT_DETAIL,visit_detail_end_datetime,No,DATETIME,"If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_datetime, then set the visit_end_datetime to the datetime of the data pull.",cdm
VISIT_DETAIL,visit_detail_type_concept_id,Yes,INTEGER,"Use this field to understand the provenance of the visit detail record, or where the record comes from.",cdm
VISIT_DETAIL,provider_id,No,INTEGER,"There will only be one provider per  **visit** record and the ETL document should clearly state how they were chosen (attending, admitting, etc.). This is a typical reason for leveraging the VISIT_DETAIL table as even though each VISIT_DETAIL record can only have one provider, there is no limit to the number of VISIT_DETAIL records that can be associated to a VISIT_OCCURRENCE record.",cdm
VISIT_DETAIL,care_site_id,No,INTEGER,This field provides information about the Care Site where the Visit Detail took place.,cdm
VISIT_DETAIL,visit_detail_source_value,No,VARCHAR(50),"This field houses the verbatim value from the source data representing the kind of visit detail that took place (inpatient, outpatient, emergency, etc.)",cdm
VISIT_DETAIL,visit_detail_source_concept_id,No,INTEGER,,cdm
VISIT_DETAIL,admitted_from_concept_id,No,INTEGER,"Use this field to determine where the patient was admitted from. This concept is part of the visit domain and can indicate if a patient was admitted to the hospital from a long-term care facility, for example.",cdm
VISIT_DETAIL,admitted_from_source_value,No,VARCHAR(50),,cdm
VISIT_DETAIL,discharged_to_source_value,No,VARCHAR(50),,cdm
