PROC_COD,TYPE_OUTPAT
91.90.2,CLIN
91.90.3,CLIN
91.90.4,CLIN
91.90.5,CLIN
91.90.6,CLIN
91.90.7,CLIN
91.90.8,CLIN
92.29.9,CLIN
99.82,CLIN
99.82.1,CLIN
C.02,CLIN
C.03,CLIN
C.04,CLIN
C.05,CLIN
C.06,CLIN
T.01,CLIN
T.02,CLIN
T.03,CLIN
89.01,CLIN
89.03,CLIN
89.07,CLIN
89.13,CLIN
89.26,CLIN
38.22,CLIN
38.22.1,CLIN
89.39.1,CLIN
89.39.2,CLIN
89.39.3,CLIN
89.39.4,CLIN
89.7,CLIN
86.19.1,CLIN
86.19.2,CLIN
86.19.3,CLIN
86.19.4,CLIN
93.01.5,CLIN
93.07.1,CLIN
93.18.1,CLIN
93.18.2,CLIN
93.29,CLIN
93.36,CLIN
93.37,CLIN
93.39.2,CLIN
93.39.5,CLIN
93.46,CLIN
93.49.2,CLIN
90.70.3,CLIN
90.78.1,CLIN
93.59.1,CLIN
93.82.1,CLIN
93.82.2,CLIN
93.89.5,CLIN
93.89.6,CLIN
93.94,CLIN
93.99,CLIN
93.99.1,CLIN
94.01.1,CLIN
94.01.2,CLIN
94.02.1,CLIN
94.02.2,CLIN
94.08.1,CLIN
94.08.2,CLIN
94.08.3,CLIN
94.08.4,CLIN
94.08.5,CLIN
94.08.6,CLIN
94.09,CLIN
94.12.1,CLIN
94.19.1,CLIN
94.3,CLIN
94.32,CLIN
94.42,CLIN
94.44,CLIN
95.01,CLIN
95.02,CLIN
96.61,CLIN
97.1,CLIN
97.88,CLIN
99.12,CLIN
99.13,CLIN
99.15.1,CLIN
99.29.7,CLIN
91.90.1,CLIN
92.18.2,IMAG
92.18.3,IMAG
92.18.4,IMAG
92.18.5,IMAG
92.18.6,IMAG
92.19.1,IMAG
92.19.2,IMAG
92.19.3,IMAG
92.19.5,IMAG
92.19.6,IMAG
92.19.7,IMAG
92.19.8,IMAG
87.99.1,IMAG
87.99.2,IMAG
88.01.1,IMAG
88.01.2,IMAG
88.01.3,IMAG
88.01.4,IMAG
88.01.5,IMAG
88.01.6,IMAG
88.03.1,IMAG
88.04,IMAG
88.19,IMAG
88.21,IMAG
88.22,IMAG
88.23,IMAG
88.25,IMAG
88.26,IMAG
92.01.1,IMAG
92.01.2,IMAG
92.01.3,IMAG
92.01.4,IMAG
92.02.1,IMAG
92.02.2,IMAG
92.02.3,IMAG
92.02.4,IMAG
92.02.5,IMAG
92.03.1,IMAG
92.03.2,IMAG
92.03.3,IMAG
92.03.4,IMAG
92.03.5,IMAG
92.04.1,IMAG
92.04.2,IMAG
92.04.3,IMAG
92.04.4,IMAG
92.04.5,IMAG
92.05.1,IMAG
92.05.2,IMAG
92.05.3,IMAG
92.05.4,IMAG
92.05.5,IMAG
92.05.6,IMAG
92.09.1,IMAG
92.09.2,IMAG
92.09.3,IMAG
92.09.4,IMAG
92.09.5,IMAG
92.09.6,IMAG
92.09.7,IMAG
92.11.1,IMAG
92.11.2,IMAG
92.11.5,IMAG
92.11.6,IMAG
92.11.7,IMAG
92.13,IMAG
92.14.1,IMAG
92.14.2,IMAG
92.14.3,IMAG
92.15.1,IMAG
92.15.2,IMAG
92.15.3,IMAG
92.15.4,IMAG
92.15.5,IMAG
92.16.1,IMAG
92.18.1,IMAG
87.07,IMAG
87.09.1,IMAG
87.09.2,IMAG
87.11.1,IMAG
87.11.2,IMAG
87.11.3,IMAG
87.11.4,IMAG
87.12.1,IMAG
87.12.2,IMAG
87.13.1,IMAG
87.13.2,IMAG
87.16.1,IMAG
87.16.2,IMAG
87.16.3,IMAG
87.16.4,IMAG
87.17.1,IMAG
87.17.2,IMAG
87.17.3,IMAG
87.22,IMAG
87.23,IMAG
87.24,IMAG
87.29,IMAG
87.35,IMAG
87.37.1,IMAG
87.37.2,IMAG
87.37.3,IMAG
87.38,IMAG
87.41,IMAG
87.41.1,IMAG
87.42.1,IMAG
87.42.2,IMAG
87.42.3,IMAG
87.43.1,IMAG
87.43.2,IMAG
87.44.1,IMAG
87.44.2,IMAG
87.49.1,IMAG
87.52,IMAG
87.54.1,IMAG
87.59.1,IMAG
87.61,IMAG
87.62,IMAG
87.62.1,IMAG
87.62.2,IMAG
87.62.3,IMAG
87.63,IMAG
87.64,IMAG
87.65.1,IMAG
87.65.2,IMAG
87.65.3,IMAG
87.66,IMAG
87.69.1,IMAG
87.72,IMAG
87.73,IMAG
87.74.1,IMAG
87.74.2,IMAG
87.75.1,IMAG
87.76,IMAG
87.76.1,IMAG
87.77,IMAG
87.77.1,IMAG
87.79.1,IMAG
87.83,IMAG
87.89.1,IMAG
88.90.3,IMAG
88.90.4,IMAG
88.91.1,IMAG
88.91.2,IMAG
88.91.3,IMAG
88.91.4,IMAG
88.91.5,IMAG
88.91.6,IMAG
88.91.7,IMAG
88.91.8,IMAG
88.91.A,IMAG
88.91.B,IMAG
88.91.C,IMAG
88.92,IMAG
88.92.1,IMAG
88.92.2,IMAG
88.92.3,IMAG
88.92.4,IMAG
88.92.5,IMAG
88.92.6,IMAG
88.92.7,IMAG
88.92.8,IMAG
88.92.9,IMAG
88.93,IMAG
88.93.1,IMAG
88.94.1,IMAG
88.94.2,IMAG
88.94.3,IMAG
88.95.1,IMAG
88.95.2,IMAG
88.95.3,IMAG
88.95.4,IMAG
88.95.5,IMAG
88.95.6,IMAG
88.97.1,IMAG
88.97.2,IMAG
88.97.3,IMAG
88.99.1,IMAG
88.99.2,IMAG
88.99.3,IMAG
88.99.4,IMAG
88.99.5,IMAG
89.58.1,IMAG
89.58.2,IMAG
89.58.3,IMAG
89.58.4,IMAG
89.58.5,IMAG
89.58.6,IMAG
89.58.7,IMAG
89.58.8,IMAG
87.03,IMAG
87.03.1,IMAG
87.03.2,IMAG
87.03.3,IMAG
87.03.4,IMAG
87.03.5,IMAG
87.03.6,IMAG
87.03.7,IMAG
87.03.8,IMAG
87.03.9,IMAG
87.04.1,IMAG
87.05,IMAG
87.06,IMAG
87.06.1,IMAG
88.27,IMAG
88.28,IMAG
88.29.1,IMAG
88.29.2,IMAG
88.31,IMAG
88.31.1,IMAG
88.32,IMAG
88.33.1,IMAG
88.33.2,IMAG
88.35.1,IMAG
88.37.1,IMAG
88.38.1,IMAG
88.38.2,IMAG
88.38.3,IMAG
88.38.4,IMAG
88.38.5,IMAG
88.38.6,IMAG
88.38.7,IMAG
88.38.8,IMAG
88.39.1,IMAG
88.39.5,IMAG
88.42.1,IMAG
88.42.2,IMAG
88.48,IMAG
88.60.1,IMAG
88.61.1,IMAG
88.61.2,IMAG
88.63.1,IMAG
88.63.2,IMAG
88.65.1,IMAG
88.65.2,IMAG
88.65.3,IMAG
88.66.1,IMAG
88.66.2,IMAG
88.71.1,IMAG
88.71.2,IMAG
88.71.3,IMAG
88.71.4,IMAG
88.73.1,IMAG
88.73.2,IMAG
88.73.3,IMAG
88.73.4,IMAG
88.73.5,IMAG
88.74.1,IMAG
88.75.1,IMAG
88.76.1,IMAG
88.77.1,IMAG
88.77.2,IMAG
88.77.3,IMAG
88.78,IMAG
88.78.1,IMAG
88.78.2,IMAG
88.79.1,IMAG
88.79.2,IMAG
88.79.3,IMAG
88.79.5,IMAG
88.79.6,IMAG
88.79.7,IMAG
88.79.8,IMAG
88.83.1,IMAG
88.85,IMAG
88.89,IMAG
88.90.1,IMAG
88.90.2,IMAG
89.04.1,LAB
45.29.1,LAB
45.29.2,LAB
45.29.3,LAB
64.19.2,LAB
44.19.2,LAB
90.47.4,LAB
90.47.5,LAB
90.47.6,LAB
90.47.7,LAB
90.48.1,LAB
90.48.2,LAB
90.48.3,LAB
90.48.4,LAB
